NaPS,Sorbent,Solvent,Binding Energy,Combined Energy,Sum Energy,Electronic SCF,vdw
Na2S2,TiO2,Vacuum,116.05908110085215,-1746.308396603535,-1630.2493155026827,True,False
Na2S2,TiO2,PC,109.88879032109412,-1753.812853806922,-1643.924063485828,False,False
Na2S2,TiO2,Glyme,0.08940731481720832,-1746.3874383963969,-1746.2980310815797,False,False
Na2S4,TiO2,Vacuum,136.6732566521282,-1766.922572154811,-1630.2493155026827,True,False
Na2S4,TiO2,PC,10.223169258227472,-1779.1523100776203,-1768.9291408193928,False,False
Na2S4,TiO2,Glyme,0.10241850063698621,-1767.0011763071057,-1766.8987578064687,False,False
Na2S6,TiO2,Vacuum,157.26444063136773,-1787.5137561340505,-1630.2493155026827,True,False
Na2S6,TiO2,PC,15.598633063948455,-1805.0771544779336,-1789.4785214139852,False,False
Na2S6,TiO2,Glyme,0.13351152154541523,-1787.6002780821807,-1787.4667665606353,False,False
Na2S8,TiO2,Vacuum,177.84634725172282,-1808.0956627544056,-1630.2493155026827,True,False
Na2S8,TiO2,PC,15.285981870076967,-1825.3399821497603,-1810.0540002796834,False,False
Na2S8,TiO2,Glyme,0.14633073063851043,-1808.177898919062,-1808.0315681884235,False,False
Na2S,TiO2,Vacuum,105.75531465208223,-1736.004630154765,-1630.2493155026827,True,False
Na2S,TiO2,PC,21.414100117740873,-1759.4539563505216,-1738.0398562327807,False,False
Na2S,TiO2,Glyme,1736.0865114802875,-1736.0865114802875,0.0,True,False
