NaPS,Sorbent,Solvent,Binding Energy,Combined Energy,Sum Energy,Electronic SCF,vdw
Na2S2,N_graphene,PC,0.04290690564596389,-531.7337289793112,-531.6908220736652,True,True
Na2S2,N_graphene,Glyme,0.04081994199179917,-531.5826987065535,-531.5418787645617,True,True
Na2S2,N_graphene,Vacuum,0.055124289663922355,-531.5316695457558,-531.4765452560919,True,True
Na2S4,N_graphene,PC,0.027890709629673438,-552.315988606874,-552.2880978972444,True,True
Na2S4,N_graphene,Glyme,0.022142616262954107,-552.1686586258621,-552.1465160095992,True,True
Na2S4,N_graphene,Vacuum,0.03962632341506378,-552.1281529599122,-552.0885266364971,True,True
Na2S6,N_graphene,Glyme,0.010256085517767133,-572.7291557037338,-572.718899618216,True,True
Na2S6,N_graphene,Vacuum,0.0376321861336919,-572.6988989527587,-572.661266766625,False,True
Na2S8,N_graphene,Vacuum,0.03295603676872361,-593.2695736443294,-593.2366176075607,True,True
Na2S8,N_graphene,PC,0.03278688898069504,-593.4546038259695,-593.4218169369888,False,True
Na2S8,N_graphene,Glyme,0.04212512957656145,-593.3058495736684,-593.2637244440918,False,True
Na2S,N_graphene,PC,105.86598672452652,-521.4211109037047,-415.5551241791782,True,True
Na2S,N_graphene,Glyme,0.04098281238839263,-521.2686438008029,-521.2276609884145,False,True
Na2S,N_graphene,Vacuum,0.04833648115550204,-521.2178691209111,-521.1695326397556,False,True
