name,NaPS,sorbent,Atoms,solvent,electronic_scf,vdw,Count,Mean /°,Median /°,Sam. std. dev.,Pop. std. dev.,Std. error,Skewness
FeN4,,FeN4,N–Fe–N,Vacuum,True,False,6,119.98,98.21,47.02,42.93,19.20,0.86
FeN4,,FeN4,C–N–Fe,Vacuum,True,False,8,120.00,120.00,20.43,19.11,7.22,0.00
FeN4,,FeN4,C–N–C,Vacuum,True,False,4,120.00,120.00,0.00,0.00,0.00,-1.71
FeN4,,FeN4,C–C–N,Vacuum,True,False,16,120.00,120.00,0.00,0.00,0.00,-1.13
FeN4,,FeN4,C–C–C,Vacuum,True,False,116,120.00,120.00,0.00,0.00,0.00,-0.46
FeN4-PC,,FeN4,N–Fe–N,PC,True,False,6,119.98,98.21,47.02,42.93,19.20,0.86
FeN4-PC,,FeN4,C–N–Fe,PC,True,False,8,120.00,120.00,20.43,19.11,7.22,0.00
FeN4-PC,,FeN4,C–N–C,PC,True,False,4,120.00,120.00,0.00,0.00,0.00,-1.71
FeN4-PC,,FeN4,C–C–N,PC,True,False,16,120.00,120.00,0.00,0.00,0.00,-1.13
FeN4-PC,,FeN4,C–C–C,PC,True,False,116,120.00,120.00,0.00,0.00,0.00,-0.46
FeN4-PC-elecmin,,FeN4,N–Fe–N,PC,False,False,6,119.98,98.21,47.02,42.93,19.20,0.86
FeN4-PC-elecmin,,FeN4,C–N–Fe,PC,False,False,8,120.00,120.00,20.43,19.11,7.22,0.00
FeN4-PC-elecmin,,FeN4,C–N–C,PC,False,False,4,120.00,120.00,0.00,0.00,0.00,-1.71
FeN4-PC-elecmin,,FeN4,C–C–N,PC,False,False,16,120.00,120.00,0.00,0.00,0.00,-1.13
FeN4-PC-elecmin,,FeN4,C–C–C,PC,False,False,116,120.00,120.00,0.00,0.00,0.00,-0.46
FeN4-elecmin,,FeN4,C–C–C,Vacuum,False,False,116,120.00,120.00,0.00,0.00,0.00,-0.46
FeN4-elecmin,,FeN4,N–Fe–N,Vacuum,False,False,6,119.98,98.21,47.02,42.93,19.20,0.86
FeN4-elecmin,,FeN4,C–N–Fe,Vacuum,False,False,8,120.00,120.00,20.43,19.11,7.22,0.00
FeN4-elecmin,,FeN4,C–N–C,Vacuum,False,False,4,120.00,120.00,0.00,0.00,0.00,-1.71
FeN4-elecmin,,FeN4,C–C–N,Vacuum,False,False,16,120.00,120.00,0.00,0.00,0.00,-1.13
FeN4-glyme,,FeN4,C–N–Fe,Glyme,True,False,8,120.00,120.00,20.43,19.11,7.22,0.00
FeN4-glyme,,FeN4,C–N–C,Glyme,True,False,4,120.00,120.00,0.00,0.00,0.00,-1.71
FeN4-glyme,,FeN4,C–C–N,Glyme,True,False,16,120.00,120.00,0.00,0.00,0.00,-1.13
FeN4-glyme,,FeN4,C–C–C,Glyme,True,False,116,120.00,120.00,0.00,0.00,0.00,-0.46
FeN4-glyme,,FeN4,N–Fe–N,Glyme,True,False,6,119.98,98.21,47.02,42.93,19.20,0.86
FeN4-glyme-elecmin,,FeN4,N–Fe–N,Glyme,False,False,6,119.98,98.21,47.02,42.93,19.20,0.86
FeN4-glyme-elecmin,,FeN4,C–N–Fe,Glyme,False,False,8,120.00,120.00,20.43,19.11,7.22,0.00
FeN4-glyme-elecmin,,FeN4,C–N–C,Glyme,False,False,4,120.00,120.00,0.00,0.00,0.00,-1.71
FeN4-glyme-elecmin,,FeN4,C–C–N,Glyme,False,False,16,120.00,120.00,0.00,0.00,0.00,-1.13
FeN4-glyme-elecmin,,FeN4,C–C–C,Glyme,False,False,116,120.00,120.00,0.00,0.00,0.00,-0.46
N_graphene-PC-elecmin,,FeN4,C–C–C,PC,False,False,161,119.99,120.00,0.29,0.29,0.02,-0.99
N_graphene-PC-elecmin,,FeN4,C–N–C,PC,False,False,3,120.00,120.00,0.00,0.00,0.00,1.73
N_graphene-PC-elecmin,,FeN4,C–C–N,PC,False,False,6,120.07,120.07,0.00,0.00,0.00,-1.19
N_graphene-PC-elecmin-vdw,,FeN4,C–N–C,PC,False,True,3,120.00,120.00,0.00,0.00,0.00,1.73
N_graphene-PC-elecmin-vdw,,FeN4,C–C–N,PC,False,True,6,120.07,120.07,0.00,0.00,0.00,-1.19
