name,NaPS,sorbent,Atoms,Mean,solvent,electronic_scf,vdw,Count,Median,Sam. std. dev.,Pop. std. dev.,Std. error,Skewness
Na2S2@FeN4,Na2S2,FeN4,S–S–Na,67.19,Vacuum,True,False,4,66.99,3.55,3.07,1.77,0.25
Na2S2@FeN4,Na2S2,FeN4,C–C–C,120.00,Vacuum,True,False,126,120.00,0.00,0.00,0.00,-0.73
Na2S2@FeN4,Na2S2,FeN4,C–C–N,120.00,Vacuum,True,False,16,120.00,0.00,0.00,0.00,-1.13
Na2S2@FeN4,Na2S2,FeN4,C–N–Fe,120.00,Vacuum,True,False,8,120.00,20.43,19.11,7.22,0.00
Na2S2@FeN4,Na2S2,FeN4,N–Fe–N,119.98,Vacuum,True,False,6,98.21,47.02,42.93,19.20,0.86
Na2S2@FeN4,Na2S2,FeN4,C–N–C,120.00,Vacuum,True,False,4,120.00,0.00,0.00,0.00,-1.71
Na2S2@FeN4,Na2S2,FeN4,Na–S–Na,127.23,Vacuum,True,False,2,127.23,6.70,4.74,4.74,nan
Na2S2@FeN4,Na2S2,FeN4,Fe–S–S,115.91,Vacuum,True,False,1,115.91,nan,0.00,nan,nan
Na2S2@FeN4,Na2S2,FeN4,Fe–S–Na,89.92,Vacuum,True,False,2,89.92,4.58,3.24,3.24,nan
Na2S2@FeN4,Na2S2,FeN4,S–Na–S,45.62,Vacuum,True,False,2,45.62,0.56,0.39,0.39,nan
Na2S2@FeN4,Na2S2,FeN4,N–Fe–S,90.00,Vacuum,True,False,4,90.00,5.73,4.97,2.87,0.00
Na2S2@FeN4-PC,Na2S2,FeN4,N–Fe–S,90.00,PC,False,False,4,90.00,4.38,3.79,2.19,0.00
Na2S2@FeN4-PC,Na2S2,FeN4,C–C–C,120.00,PC,False,False,116,120.00,0.00,0.00,0.00,-0.46
Na2S2@FeN4-PC,Na2S2,FeN4,C–C–N,120.00,PC,False,False,16,120.00,0.00,0.00,0.00,-1.13
Na2S2@FeN4-PC,Na2S2,FeN4,C–N–C,120.00,PC,False,False,4,120.00,0.00,0.00,0.00,-1.71
